text,date,user_location,retweets,likes
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-01-02,Mumbai,32,157
Vaccines are important for public health #VaccineForAll,2022-08-12,Chennai,25,149
Proud to be vaccinated! #Vaccinated,2021-07-13,Hyderabad,89,173
Vaccine misinformation is dangerous #FactCheck,2021-05-23,Delhi,43,48
Vaccines are a conspiracy #AntiVax,2021-11-13,Bangalore,5,8
Worried about vaccine side effects #VaccineSafety,2021-08-11,Ahmedabad,40,113
Vaccines are a conspiracy #AntiVax,2021-04-21,Bangalore,6,83
Traditional medicine is better than vaccines #AlternativeMedicine,2021-01-22,Delhi,2,126
Children need all recommended vaccines #ChildHealth,2023-05-24,Hyderabad,74,11
Proud to be vaccinated! #Vaccinated,2023-06-28,Mumbai,44,121
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-01-20,Chennai,44,135
Proud to be vaccinated! #Vaccinated,2021-11-05,Pune,31,50
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-07-03,Bangalore,21,36
Vaccines are a conspiracy #AntiVax,2023-05-23,Bangalore,2,155
Vaccine misinformation is dangerous #FactCheck,2023-01-25,Bangalore,60,92
Worried about vaccine side effects #VaccineSafety,2021-12-19,Pune,75,48
Government should make vaccines mandatory #PublicHealth,2021-06-08,Delhi,60,23
Traditional medicine is better than vaccines #AlternativeMedicine,2023-03-16,Chennai,91,107
Traditional medicine is better than vaccines #AlternativeMedicine,2023-08-14,Ahmedabad,49,176
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-08-31,Mumbai,35,116
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-08-01,Pune,33,163
Worried about vaccine side effects #VaccineSafety,2021-10-22,Delhi,57,124
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-06-14,Ahmedabad,20,142
Vaccines are important for public health #VaccineForAll,2023-05-17,Delhi,7,99
Proud to be vaccinated! #Vaccinated,2023-07-29,Hyderabad,77,1
Proud to be vaccinated! #Vaccinated,2021-10-20,Kolkata,37,40
Worried about vaccine side effects #VaccineSafety,2022-01-16,Pune,13,83
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-04-18,Mumbai,88,27
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-09-18,Pune,64,167
Vaccines are a conspiracy #AntiVax,2021-10-28,Pune,46,30
Vaccine misinformation is dangerous #FactCheck,2022-09-22,Hyderabad,79,92
Vaccine misinformation is dangerous #FactCheck,2023-04-24,Hyderabad,0,132
Traditional medicine is better than vaccines #AlternativeMedicine,2023-08-30,Mumbai,56,63
Worried about vaccine side effects #VaccineSafety,2022-11-18,Kolkata,75,164
Vaccines are important for public health #VaccineForAll,2021-06-05,Pune,78,133
Traditional medicine is better than vaccines #AlternativeMedicine,2021-11-30,Delhi,72,36
Traditional medicine is better than vaccines #AlternativeMedicine,2021-10-09,Kolkata,0,118
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-07-17,Kolkata,58,68
Vaccines are important for public health #VaccineForAll,2023-10-06,Bangalore,77,11
Vaccine misinformation is dangerous #FactCheck,2021-10-03,Kolkata,87,42
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-08-05,Delhi,28,184
Proud to be vaccinated! #Vaccinated,2022-05-10,Bangalore,49,150
Worried about vaccine side effects #VaccineSafety,2021-05-31,Ahmedabad,44,51
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-01-16,Chennai,7,84
Vaccines are important for public health #VaccineForAll,2023-10-12,Ahmedabad,28,95
Worried about vaccine side effects #VaccineSafety,2022-06-01,Pune,85,174
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-11-07,Pune,89,170
Vaccine misinformation is dangerous #FactCheck,2021-04-24,Delhi,16,25
Vaccines are a conspiracy #AntiVax,2021-10-30,Ahmedabad,75,71
Children need all recommended vaccines #ChildHealth,2023-03-25,Chennai,32,0
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-12-13,Ahmedabad,68,104
Vaccine misinformation is dangerous #FactCheck,2023-10-07,Ahmedabad,69,62
Children need all recommended vaccines #ChildHealth,2022-11-19,Kolkata,72,76
Children need all recommended vaccines #ChildHealth,2023-08-29,Chennai,97,124
Worried about vaccine side effects #VaccineSafety,2022-05-09,Chennai,18,197
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-02-01,Mumbai,22,82
Vaccines are important for public health #VaccineForAll,2023-04-02,Pune,88,142
Vaccines are important for public health #VaccineForAll,2022-12-12,Pune,20,146
Children need all recommended vaccines #ChildHealth,2021-11-01,Ahmedabad,34,171
Worried about vaccine side effects #VaccineSafety,2023-05-17,Ahmedabad,77,73
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-07-31,Mumbai,2,84
Vaccine misinformation is dangerous #FactCheck,2021-11-24,Ahmedabad,65,197
Government should make vaccines mandatory #PublicHealth,2022-10-27,Chennai,4,47
Government should make vaccines mandatory #PublicHealth,2023-09-02,Chennai,99,14
Proud to be vaccinated! #Vaccinated,2022-05-13,Chennai,42,20
Proud to be vaccinated! #Vaccinated,2022-09-11,Pune,79,46
Government should make vaccines mandatory #PublicHealth,2022-02-03,Mumbai,35,50
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-28,Kolkata,85,18
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-08-22,Ahmedabad,51,26
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-04-16,Chennai,29,145
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-08-12,Chennai,89,88
Proud to be vaccinated! #Vaccinated,2023-11-29,Kolkata,30,70
Vaccines are a conspiracy #AntiVax,2022-03-21,Delhi,55,35
Traditional medicine is better than vaccines #AlternativeMedicine,2022-07-13,Bangalore,12,118
Worried about vaccine side effects #VaccineSafety,2022-12-27,Chennai,8,25
Children need all recommended vaccines #ChildHealth,2021-01-10,Ahmedabad,41,71
Vaccines are a conspiracy #AntiVax,2022-12-21,Mumbai,25,90
Government should make vaccines mandatory #PublicHealth,2021-02-19,Ahmedabad,18,99
Proud to be vaccinated! #Vaccinated,2023-05-07,Delhi,18,163
Vaccine misinformation is dangerous #FactCheck,2023-09-20,Pune,68,174
Vaccines are important for public health #VaccineForAll,2022-04-28,Chennai,97,160
Proud to be vaccinated! #Vaccinated,2022-10-23,Mumbai,21,175
Government should make vaccines mandatory #PublicHealth,2022-02-23,Chennai,70,159
Vaccine misinformation is dangerous #FactCheck,2023-08-27,Hyderabad,76,184
Children need all recommended vaccines #ChildHealth,2023-02-09,Ahmedabad,34,6
Government should make vaccines mandatory #PublicHealth,2022-09-29,Pune,40,23
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-07-08,Ahmedabad,38,108
Traditional medicine is better than vaccines #AlternativeMedicine,2023-01-14,Kolkata,96,163
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-03-14,Ahmedabad,96,122
Worried about vaccine side effects #VaccineSafety,2022-03-01,Pune,67,12
Vaccines are important for public health #VaccineForAll,2023-04-08,Delhi,59,4
Government should make vaccines mandatory #PublicHealth,2023-02-15,Hyderabad,71,49
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-10-11,Chennai,57,2
Worried about vaccine side effects #VaccineSafety,2022-12-28,Chennai,1,101
Vaccines are important for public health #VaccineForAll,2021-12-20,Pune,29,115
Vaccines are a conspiracy #AntiVax,2022-10-24,Chennai,57,35
Government should make vaccines mandatory #PublicHealth,2021-10-14,Pune,54,105
Children need all recommended vaccines #ChildHealth,2021-02-24,Ahmedabad,11,144
Vaccines are a conspiracy #AntiVax,2023-09-07,Bangalore,15,29
Proud to be vaccinated! #Vaccinated,2021-12-14,Bangalore,4,103
Vaccines are a conspiracy #AntiVax,2021-12-30,Mumbai,29,148
Traditional medicine is better than vaccines #AlternativeMedicine,2022-02-10,Delhi,71,31
Vaccines are important for public health #VaccineForAll,2023-10-10,Ahmedabad,75,37
Traditional medicine is better than vaccines #AlternativeMedicine,2023-01-08,Kolkata,13,35
Vaccines are important for public health #VaccineForAll,2021-04-24,Kolkata,65,104
Government should make vaccines mandatory #PublicHealth,2023-02-09,Bangalore,72,192
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-11-07,Hyderabad,34,149
Worried about vaccine side effects #VaccineSafety,2021-09-01,Delhi,11,48
Vaccine misinformation is dangerous #FactCheck,2022-11-09,Delhi,44,34
Vaccines are a conspiracy #AntiVax,2021-05-14,Bangalore,79,6
Traditional medicine is better than vaccines #AlternativeMedicine,2021-03-14,Pune,20,162
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-05-09,Delhi,34,19
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-09-23,Mumbai,65,24
Worried about vaccine side effects #VaccineSafety,2021-06-13,Pune,13,64
Worried about vaccine side effects #VaccineSafety,2021-08-26,Kolkata,51,130
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-06-21,Mumbai,12,116
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-07-06,Delhi,67,24
Traditional medicine is better than vaccines #AlternativeMedicine,2023-11-02,Ahmedabad,95,91
Traditional medicine is better than vaccines #AlternativeMedicine,2023-09-16,Chennai,62,133
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-12-20,Pune,82,30
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-02-17,Mumbai,1,125
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-12-16,Pune,72,82
Children need all recommended vaccines #ChildHealth,2021-05-29,Mumbai,27,189
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-09-20,Ahmedabad,15,96
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-24,Kolkata,51,51
Traditional medicine is better than vaccines #AlternativeMedicine,2021-05-04,Hyderabad,49,62
Government should make vaccines mandatory #PublicHealth,2023-02-07,Kolkata,98,6
Worried about vaccine side effects #VaccineSafety,2022-03-31,Kolkata,85,132
Proud to be vaccinated! #Vaccinated,2022-01-21,Hyderabad,90,148
Worried about vaccine side effects #VaccineSafety,2023-01-12,Pune,20,137
Proud to be vaccinated! #Vaccinated,2023-06-20,Mumbai,12,180
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-06-22,Ahmedabad,35,187
Government should make vaccines mandatory #PublicHealth,2021-11-04,Ahmedabad,54,116
Vaccine misinformation is dangerous #FactCheck,2022-05-25,Chennai,33,51
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-01-14,Bangalore,92,179
Worried about vaccine side effects #VaccineSafety,2022-07-08,Kolkata,41,140
Vaccines are important for public health #VaccineForAll,2021-04-15,Ahmedabad,16,119
Children need all recommended vaccines #ChildHealth,2022-03-01,Mumbai,1,59
Vaccines are important for public health #VaccineForAll,2023-10-31,Delhi,57,187
